No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah
22, 0101024,SMK AL MAKMUR,20100306,S,32,66.81,43.13,30.08,81.8,"55,46",01,01,024
23, 0101025,SMK AL. IHSAN,20100140,S,50,63.96,45.52,29.5,78.99,"54,49",01,01,025
24, 0101028,SMK FRANSISKUS 2,20100139,S,7,63.14,56.57,35.71,80,"58,86",01,01,028
25, 0101029,SMK JAKARTA DUA,20100117,S,144,68.6,43.32,31.81,82.07,"56,45",01,01,029
26, 0101030,SMK JAKARTA PUSAT I,20100108,S,178,70.16,53.2,43.6,76.07,"60,76",01,01,030
27, 0101033,SMK K. BETHEL,20100132,S,36,75.89,59.06,39.1,84.19,"64,56",01,01,033
28, 0101035,SMK KSATRYA,20100114,S,206,65.4,46.05,26.3,81.26,"54,75",01,01,035
29, 0101036,SMK MUHAMMADIYAH 2,20100142,S,23,64.61,46.35,30.87,84.23,"56,52",01,01,036
30, 0101037,SMK MUHAMMADIYAH 5,20108509,S,73,67.84,49.92,30.92,81.76,"57,61",01,01,037
31, 0101038,SMK MUHAMMADIYAH 10,20100116,S,21,61.9,45.81,21.07,78,"51,70",01,01,038
32, 0101039,SMK MUHAMMADIYAH 11,20100141,S,99,66.73,47.17,32.45,80.32,"56,67",01,01,039
33, 0101041,SMK PGRI 4,20100153,S,100,61.9,47.7,25.95,79.15,"53,68",01,01,041
34, 0101043,SMK PGRI 25,20100149,S,127,60.87,42.35,29.29,84.07,"54,15",01,01,043
35, 0101044,SMK PGRI 31,20100151,S,127,65.5,47.81,32.93,83.76,"57,50",01,01,044
36, 0101045,SMK PGRI 34,20100152,S,74,61.49,41.73,25.74,80.87,"52,46",01,01,045
37, 0101046,SMK PSKD I,20100282,S,23,71.57,61.91,31.3,85.91,"62,67",01,01,046
38, 0101047,SMK SAID NAUM,20100118,S,53,66.42,42.6,27.08,82.02,"54,53",01,01,047
39, 0101048,SMK SAINT JOHN,20100298,S,15,81.33,77.73,65.83,78.6,"75,87",01,01,048
40, 0101049,SMK STRADA I,20100303,S,121,77.83,68.13,54.96,82.42,"70,84",01,01,049
41, 0101051,SMK ST. PAULUS,20100301,S,26,77.77,66.15,60.96,86.33,"72,80",01,01,051
42, 0101052,SMK TAMAN SISWA 1,20100294,S,247,63.62,45.4,31.34,72.38,"53,19",01,01,052
43, 0101053,SMK TAMAN SISWA 3,20100295,S,39,67.03,46.26,43.08,80.74,"59,28",01,01,053
44, 0101054,SMK TUNAS HARAPAN,20107259,S,25,69.76,54.08,37.3,82.69,"60,96",01,01,054
45, 0101056,SMK YAPERMAS,20100286,S,112,62.43,42.36,30.83,80.03,"53,91",01,01,056
46, 0101058,SMK YP.IPPI,20100288,S,447,63.95,42.88,28.01,83.26,"54,53",01,01,058
47, 0101061,SMK REX MUNDI,20108514,S,37,78.65,84.7,69.05,78.92,"77,83",01,01,061
48, 0101062,SMK NEGERI 27,20100163,N,283,74.81,73.34,62.11,80.68,"72,74",01,01,062
49, 0101063,SMK NEGERI 38,20100167,N,108,76.52,66.48,63.73,78.8,"71,38",01,01,063
50, 0101064,SMK BINA DARMA DKI,20100133,S,78,70.97,53.28,38.75,81.31,"61,08",01,01,064
51, 0101066,SMK JAYA WISATA I,20108510,S,19,69.26,65.47,28.42,80.56,"60,93",01,01,066
52, 0101067,SMK KARTINI,20100104,S,52,70.12,61.15,33.51,78.97,"60,94",01,01,067
53, 0101068,SMK PARAMITHA 2,20100144,S,62,77.26,71.58,47.98,80,"69,21",01,01,068
54, 0101069,SMK ST. MARIA,20100299,S,94,76.36,80.83,72.77,76.46,"76,61",01,01,069
55, 0101070,SMK ST.THERESIA,20100300,S,69,80,89.04,82.54,80.51,"83,02",01,01,070
56, 0101071,SMK F. DITKESAD,20107254,S,87,88.64,87.22,95.26,93.46,"91,15",01,01,071
57, 0101072,SMK F. TUNAS BANGSA,20107255,S,48,80.33,65.67,64.64,88.03,"74,67",01,01,072
58, 0101073,SMK KESDAM JAYA,20108511,S,78,71.18,51.56,53.59,82.38,"64,68",01,01,073
59, 0101075,SMK PRG. SEKESAL,20109319,S,44,75.41,68,52.56,84.54,"70,13",01,01,075
60, 0101076,SMK F PENABUR,20109314,S,26,83.92,67.46,72.69,89.36,"78,36",01,01,076
61, 0101077,SMK CEMPAKA,20178283,S,105,64.78,43.14,23.67,82.2,"53,45",01,01,077
62, 0101079,SMKS KRISTEN KANAAN,20177909,S,50,72.84,79.56,58.85,70.19,"70,36",01,01,079
63, 0102001,SMK NEGERI 4 JAKARTA,20107436,N,413,74.49,65.4,62.61,74.86,"69,34",01,02,001
64, 0102002,SMK NEGERI 36 JAKARTA,20107435,N,309,72.16,62.78,54.4,76.09,"66,36",01,02,002
65, 0102003,SMK NEGERI 55 JAKARTA,20107438,N,230,70.87,54.91,40.22,74.33,"60,08",01,02,003
66, 0102004,SMK NEGERI 56 JAKARTA,20107439,N,342,75.94,59.94,45.61,76.73,"64,56",01,02,004
67, 0102005,SMK AL KHAIRIYAH 2 JAKARTA,20107407,S,118,61.75,41.05,25.81,77.49,"51,53",01,02,005
68, 0102006,SMK CILINCING 1 JAKARTA,20107412,S,54,58.04,38.48,24.58,76.57,"49,42",01,02,006
69, 0102007,SMK CILINCING 3 JAKARTA,20107413,S,46,55.96,40.52,25.16,81.72,"50,84",01,02,007
70, 0102008,SMK DHARMA PUTRA 2 JAKARTA,20109505,S,87,56.07,39.2,24.4,76.84,"49,13",01,02,008
71, 0102009,SMK JAYA JAKARTA,20100775,S,108,63.17,49.13,32.15,77.24,"55,42",01,02,009
72, 0102010,SMK KARYA BAHARI JAKARTA,20107424,S,44,47.86,40.05,23.52,77.4,"47,21",01,02,010
73, 0102011,SMK KENCANA 1 JAKARTA,20107426,S,147,54.67,39.86,23.95,67.7,"46,55",01,02,011
74, 0102012,SMK MUHAMMADIYAH 12 JAKARTA,20107431,S,47,62.94,38.94,23.51,79.21,"51,15",01,02,012
75, 0102013,SMK PERGURUAN CIKINI JAKARTA,20107411,S,338,65.83,55.99,36.32,70.75,"57,22",01,02,013
76, 0102015,SMK PGRI 11 JAKARTA,20107450,S,411,62,44.07,31.41,68.91,"51,60",01,02,015
77, 0102016,SMK PSKD III JAKARTA,20107453,S,61,63.67,40.03,26.56,78.48,"52,19",01,02,016
78, 0102018,SMK TANJUNG PRIOK I JAKARTA,20107465,S,314,52.63,39.61,23.89,68.91,"46,26",01,02,018
79, 0102019,SMK WALANG JAYA JAKARTA,20107468,S,404,58.68,40.82,32.5,71.9,"50,98",01,02,019
80, 0102020,SMK WIYATAMANDALA JAKARTA,20107469,S,38,52.47,38.95,21.84,83.96,"49,31",01,02,020
81, 0102021,SMK NEGERI 12 JAKARTA,20100783,N,175,77.58,69.09,63.7,83.12,"73,37",01,02,021
82, 0102022,SMK NEGERI 61 JAKARTA,20109165,N,61,55.57,37.77,30.98,73.88,"49,55",01,02,022
83, 0102023,SMK NEGERI 23 JAKARTA,20107433,N,197,78.95,65.83,66.95,83.85,"73,90",01,02,023
84, 0102024,SMK NEGERI 49 JAKARTA,20107437,N,237,75.99,62.35,55.2,78.92,"68,12",01,02,024
85, 0102026,SMK AL IRSYAD AL ISLAMIYYAH JAKARTA,20107403,S,39,65.03,46.82,27.12,77.19,"54,04",01,02,026
86, 0102027,SMK AL JIHAD JAKARTA,20107404,S,125,64,41.52,30.6,81.27,"54,35",01,02,027
87, 0102028,SMK AL-KHAIRIYAH I JAKARTA,20107406,S,99,63.6,44.48,25.83,78.91,"53,21",01,02,028
88, 0102029,SMK AR-RAUDHAH JAKARTA,20107408,S,63,62.63,51.9,30.71,80.08,"56,33",01,02,029
89, 0102030,SMK HANG TUAH 2 JAKARTA,20107409,S,49,66.33,43.88,31.94,80.14,"55,57",01,02,030
90, 0102031,SMK BARUNAWATI JAKARTA,20107410,S,97,63.01,50.66,30.8,77.02,"55,37",01,02,031
91, 0102032,SMK DARUL MAARIF JAKARTA,20107414,S,62,61.84,59.58,30.89,83.59,"58,98",01,02,032
92, 0102033,SMK DHARMA BUDHI BHAKTI PLUS JAKARTA,20107415,S,25,77.76,80.88,65.1,84.88,"77,16",01,02,033
93, 0102034,SMK DHARMA PUTRA 1 JAKARTA,20107416,S,60,64.4,43.57,26.46,77.73,"53,04",01,02,034
94, 0102035,SMK GITA KIRTTI 2 JAKARTA,20107418,S,138,59.8,40.51,23.03,81.17,"51,13",01,02,035
95, 0102036,SMK GLOBAL 21 JAKARTA,20107419,S,11,48.91,48.73,27.05,85.12,"52,45",01,02,036
96, 0102037,SMK GUNUNG JATI JAKARTA,20107420,S,110,57.11,53.09,25.93,82.99,"54,78",01,02,037
97, 0102038,SMK HANG TUAH I JAKARTA,20107421,S,102,66.63,55.88,39.19,74.05,"58,94",01,02,038
98, 0102039,SMK FAJAR INDAH JAKARTA,20107417,S,27,73.26,65.93,54.91,87.98,"70,52",01,02,039
99, 0102040,SMK K. HARAPAN MULIA JAKARTA,20107428,S,12,61,45.67,22.08,81,"52,44",01,02,040
100, 0102041,SMK K. NAZARET JAKARTA,20107429,S,18,71.78,78.56,56.81,74.63,"70,45",01,02,041
101, 0102042,SMK KENCANA 2 JAKARTA,20107427,S,64,62.94,40.81,33.52,76.32,"53,40",01,02,042
102, 0102043,SMK LAGOA JAKARTA,20107430,S,25,51.52,42,23.9,74.5,"47,98",01,02,043
103, 0102044,SMK MUTIARA 1 JAKARTA,20107432,S,53,60.91,38.83,28.49,77.07,"51,33",01,02,044
104, 0102045,SMK NUSANTARA 1 JAKARTA,20107440,S,47,63.66,40.81,26.17,77.95,"52,15",01,02,045
105, 0102046,SMK PERINTIS NASIONAL JAKARTA,20107447,S,36,51.67,39.33,25.97,75.02,"48,00",01,02,046
106, 0102047,SMK PERMATA INDAH JAKARTA,20107449,S,59,64.34,53.83,34.24,82.19,"58,65",01,02,047
107, 0102048,SMK PGRI 3 JAKARTA,20107451,S,70,64.74,42.74,28.82,83.02,"54,83",01,02,048
108, 0102049,SMK PLUIT RAYA JAKARTA,20107452,S,152,68.09,45.04,33.49,83.92,"57,64",01,02,049
109, 0102050,SMK R.JANNATINNAIM JAKARTA,20107454,S,73,54.96,38.3,19.9,81.86,"48,76",01,02,050
110, 0102051,SMK REMAJA PLUIT JAKARTA,20107455,S,302,58.06,38.19,25.34,72.15,"48,44",01,02,051
111, 0102052,SMK SARI PUTRA JAKARTA,20107458,S,58,58.03,39.72,27.67,73.69,"49,78",01,02,052
112, 0102053,SMK SEJAHTERA JAKARTA,20107459,S,261,66.52,48.23,45.85,69.08,"57,42",01,02,053
113, 0102054,SMK SILIWANGI JAKARTA,20107460,S,20,63.2,44.2,40.25,83.28,"57,73",01,02,054
114, 0102055,SMK SPES PATRIAE JAKARTA,20107462,S,45,69.82,64.84,38.61,73.71,"61,75",01,02,055
115, 0102056,SMK STRADA III JAKARTA,20107463,S,89,70.04,59.1,41.04,75.26,"61,36",01,02,056
116, 0102057,SMK SYAHID JAKARTA,20107464,S,102,64.51,41.24,34.58,84.52,"56,21",01,02,057
117, 0102058,SMK TANJUNG PRIOK 2 JAKARTA,20107466,S,162,64.91,58.81,36.06,73.6,"58,35",01,02,058
118, 0102059,SMK TRIDHARMA BUDHIDAYA JAKARTA,20107467,S,20,66.6,52,35.38,71.71,"56,42",01,02,059
119, 0102060,SMK WIYATAMANDALA BAKTI JAKARTA,20107470,S,41,58,62,22.74,77.6,"55,09",01,02,060
120, 0102061,SMK YANINDO JAKARTA,20107471,S,111,56.72,37.24,26.53,71.89,"48,10",01,02,061
121, 0102062,SMK YAPPENDA JAKARTA,20107472,S,255,60.85,43.65,27.78,70.56,"50,71",01,02,062
122, 0102063,SMK P. WIJAYAKUSUMA JAKARTA,20107442,S,39,64,44.77,27.56,80.51,"54,21",01,02,063
123, 0102064,SMK YASPI JAYA JAKARTA,20107474,S,47,60.89,47.19,26.33,79.6,"53,50",01,02,064
124, 0102065,SMK YUSHA JAKARTA,20107475,S,113,56.83,40.92,25.93,78.82,"50,63",01,02,065
125, 0102066,SMK NEGERI 33 JAKARTA,20107434,N,179,75.53,71.65,72.67,80.15,"75,00",01,02,066
126, 0102067,SMK KASIH ANANDA JAKARTA,20107425,S,44,72.82,56.73,36.7,83.48,"62,43",01,02,067
127, 0102068,SMK SISMADI JAKARTA,20107461,S,19,64.63,49.79,27.5,79.44,"55,34",01,02,068
128, 0102069,SMK DJADAJAT JAKARTA,20107445,S,22,62.55,55.55,33.07,79.46,"57,66",01,02,069
129, 0102070,SMK PELAYARAN JAKARTA,20107422,S,86,59.63,65,50.26,74.72,"62,40",01,02,070
130, 0102071,SMK JALASENA JAKARTA,20107423,S,20,67.6,62.4,45.5,78.46,"63,49",01,02,071
131, 0102073,SMK MALAHAYATI JAKARTA,20107446,S,75,57.57,60.13,35.97,69.99,"55,92",01,02,073
132, 0102074,SMK NUSANTARA 2 JAKARTA,20107441,S,124,56.06,36.98,21.59,73.85,"47,12",01,02,074
133, 0102075,SMK PEL. JAKARTA RAYA JAKARTA,20107443,S,107,66.06,54.86,38.22,72.1,"57,81",01,02,075
134, 0102076,SMK AL-KHAIRIYAH BAHARI JAKARTA,20107405,S,52,67.08,46.23,26.92,78.29,"54,63",01,02,076
135, 0102078,SMK AL MIFTAHIYYAH,20109260,S,25,58.72,39.52,24.2,77.56,"50,00",01,02,078
136, 0102080,SMK 11 MARET,20112463,S,139,63.91,43.38,31.82,84.69,"55,95",01,02,080
137, 0102081,SMK PGRI 38,20178282,S,40,60.15,42.35,24.5,79.71,"51,68",01,02,081
138, 0102082,SMK BINTANG NUSANTARA,20177823,S,34,59.35,41.53,27.87,79.16,"51,98",01,02,082
139, 0102083,SMK KESEHATAN GLOBAL CENDEKIA,69761954,S,48,69.08,49.38,38.02,80.48,"59,24",01,02,083
140, 0102084,SMK AL MUTTAQIN,69761967,S,38,59.58,36.79,27.57,84.57,"52,13",01,02,084
141, 0103001,SMK NEGERI 35,20101501,N,239,68.64,50.77,33.16,73.48,"56,51",01,03,001
142, 0103002,SMK NEGERI 53,20101498,N,262,69.04,53.76,41.04,73.94,"59,45",01,03,002
143, 0103004,SMK BHARA TRIKORA 1,20101595,S,164,60.72,40.18,23.17,79.6,"50,92",01,03,004
144, 0103006,SMK CENGKARENG,20101665,S,27,61.7,51.93,51.85,86.85,"63,08",01,03,006
145, 0103007,SMK JAKARTA III,20101639,S,43,54.51,37.58,20.93,80.6,"48,41",01,03,007
146, 0103008,SMK KEBON JERUK,20101644,S,61,66.13,44.59,25.94,83.68,"55,09",01,03,008
147, 0103009,SMK PGRI 24,20101495,S,58,59.41,40.07,62.11,82.66,"61,06",01,03,009
148, 0103011,SMK TRI ARGA 2,20101487,S,111,62.63,47.42,30,83.22,"55,82",01,03,011
149, 0103012,SMK TELKOM SANDHY PUTRA,20104462,S,317,78.45,74.68,61.19,86.83,"75,29",01,03,012
150, 0103013,SMK YADIKA 3,20101560,S,214,62.71,45.5,25.47,82.74,"54,11",01,03,013
151, 0103015,SMK PGRI 35 JAKARTA,20101478,S,379,64.85,44.04,31.89,84.11,"56,22",01,03,015
152, 0103017,SMK NEGERI 13,20101503,N,308,74.55,70.38,67.49,79.38,"72,95",01,03,017
153, 0103018,SMK NEGERI 17,20101502,N,155,76.62,69.55,69.26,84.26,"74,92",01,03,018
154, 0103019,SMK NEGERI 45,20101499,N,230,75.89,70.95,64.03,82.46,"73,33",01,03,019
155, 0103020,SMK NEGERI 11,20101504,N,199,71.68,59.11,50.11,76.69,"64,40",01,03,020
156, 0103021,SMK NEGERI 42,20101500,N,234,80.7,72.94,78.34,85.7,"79,42",01,03,021
157, 0103022,SMK NEGERI 9,20101496,N,189,75.86,61.63,68.07,82.71,"72,07",01,03,022
158, 0103023,SMK 1 CITRA ADHI PRATAMA,20101580,S,89,65.01,42.9,26.83,81.79,"54,13",01,03,023
159, 0103024,SMK AL CHASANAH,20101591,S,57,73.47,66.91,55.53,83.99,"69,98",01,03,024
160, 0103025,SMK AL HAMIDIYAH,20101600,S,121,58.4,37.54,21.82,78.07,"48,96",01,03,025
161, 0103026,SMK AL HUDA,20101592,S,114,70.07,48.61,35.53,88.18,"60,60",01,03,026
162, 0103028,SMK AL IHSAN,20101602,S,37,67.41,48.22,29.26,76.51,"55,35",01,03,028
163, 0103029,SMK AL MAFATIH,20101601,S,27,66.89,61.93,46.39,83.59,"64,70",01,03,029
164, 0103030,SMK AD-DAWAH,20101590,S,129,60.76,42.43,24.53,80.35,"52,02",01,03,030
165, 0103032,SMK BHAKTI,20101596,S,5,57.6,42,22.5,78.5,"50,15",01,03,032
166, 0103034,SMK BINA INSAN MANDIRI,20101578,S,223,67.62,52.24,33.71,83.15,"59,18",01,03,034
167, 0103037,SMK BUDI MURNI 2,20101670,S,151,64.41,48.85,39.11,73.89,"56,57",01,03,037
168, 0103038,SMK BENTENG GADING,20101597,S,49,63.59,43.18,29.54,76.92,"53,31",01,03,038
169, 0103039,SMK BHINEKA TUNGGAL IKA,20101593,S,38,75.63,71.32,55.2,86.79,"72,24",01,03,039
170, 0103040,SMK BINA KARYA,20101687,S,92,73.72,59.85,44.29,84.57,"65,61",01,03,040
171, 0103043,SMK CENGKARENG 1,20101581,S,325,68.46,45.91,29.77,83.21,"56,84",01,03,043
172, 0103044,SMK CINDERA MATA INDAH,20101662,S,47,64.13,46.94,38.3,78.23,"56,90",01,03,044
173, 0103045,SMK DEWI SARTIKA,20101661,S,157,60.09,46.51,29.52,81.51,"54,41",01,03,045
174, 0103046,SMK DUTA MAS,20101686,S,37,57.3,36.49,22.97,84.39,"50,29",01,03,046
175, 0103047,SMK DHAMMASAVANA,20101660,S,18,76.56,66.22,57.36,85.58,"71,43",01,03,047
176, 0103048,SMK DIAN,20101673,S,25,60.72,42.16,25.9,81.58,"52,59",01,03,048
177, 0103049,SMK DUTA BANGSA,20101674,S,39,63.79,42.05,27.18,85.41,"54,61",01,03,049
178, 0103050,SMK EKA SAKTI,20101685,S,55,55.93,41.56,31.55,76.63,"51,42",01,03,050
179, 0103051,SMK HARAPAN JAYA,20101682,S,100,62.56,43.76,28.15,82.8,"54,32",01,03,051
180, 0103052,SMK HARAPAN RAYA,20101681,S,19,59.89,42,24.34,80.79,"51,76",01,03,052
181, 0103053,SMK HARVARD,20101680,S,20,67.4,53.5,29.38,82.59,"58,22",01,03,053
182, 0103054,SMK IBU PERTIWI 2,20101677,S,93,64.28,47.25,30.32,80.04,"55,47",01,03,054
183, 0103056,SMK IP. YAKIN,20101675,S,120,66.13,46.33,35.31,82.55,"57,58",01,03,056
184, 0103057,SMK ISLAM AA,20101641,S,410,63.73,44.65,29.86,79.49,"54,43",01,03,057
185, 0103058,SMK ISLAM PERTI,20101642,S,192,61.4,44.36,29.19,82.62,"54,39",01,03,058
186, 0103059,SMK ISLAM BAHAGIA,20101658,S,102,65.61,42.75,25.83,77.26,"52,86",01,03,059
187, 0103060,SMK ISLAM FATAHILLAH,20107272,S,67,64.09,43.37,28.99,81.39,"54,46",01,03,060
188, 0103061,SMK JAKARTA IV,20101638,S,49,58.37,42.53,25.31,80.53,"51,69",01,03,061
189, 0103062,SMK JOSUA,20101637,S,142,55.1,40.38,24.21,82.21,"50,48",01,03,062
190, 0103063,SMK JAKARTA I,20101640,S,182,66.92,49.04,47.94,81.79,"61,42",01,03,063
191, 0103064,SMK K. CENDRAWASIH,20104458,S,46,74.17,76.74,46.96,84.05,"70,48",01,03,064
192, 0103065,SMK K. RAHMANI,20101652,S,44,72.09,59.68,35.8,83.95,"62,88",01,03,065
193, 0103067,SMK KARTIKA X-1,20101634,S,128,68.97,46.55,31.62,83.76,"57,73",01,03,067
194, 0103068,SMK KEBUDAYAAN,20101645,S,20,59.1,54.7,43,84.05,"60,21",01,03,068
195, 0103069,SMK KESATUAN,20101656,S,71,67.24,49.92,32.99,84.63,"58,70",01,03,069
196, 0103070,SMK LAMAHOLOT,20101649,S,28,64.36,51.43,38.84,82.8,"59,36",01,03,070
197, 0103071,SMK MAARIF,20101648,S,102,66.57,44.71,36.54,83.54,"57,84",01,03,071
198, 0103072,SMK MUHAMMADIYAH 3,20101521,S,113,63.01,45.5,32.17,83,"55,92",01,03,072
199, 0103073,SMK MUHAMMADIYAH 4,20101506,S,244,68.45,49.17,30.55,83.04,"57,80",01,03,073
200, 0103074,SMK MUTIARA BANGSA,20101505,S,426,64.99,46.27,28.87,86.3,"56,61",01,03,074
201, 0103076,SMK PANCARAN BERKAT,20101636,S,40,72.5,61.4,48.13,86.08,"67,03",01,03,076
202, 0103077,SMK AL WASHILAH - 1,20101599,S,23,68.96,61.83,65.76,83.18,"69,93",01,03,077
203, 0103079,SMK PGRI 2,20101510,S,47,59.62,43.91,29.47,79.39,"53,10",01,03,079
204, 0103080,SMK PGRI 29,20101494,S,77,70.88,52.1,46.59,87.12,"64,17",01,03,080
205, 0103082,SMK PGRI 5,20101476,S,64,63.81,51.53,37.58,81.85,"58,69",01,03,082
206, 0103083,SMK PATRIOT NUSANTARA,20101509,S,86,63.93,45.98,26.48,81.2,"54,40",01,03,083
207, 0103084,SMK PELITA IV,20101518,S,92,78,69.61,59.02,86.05,"73,17",01,03,084
208, 0103085,SMK PERMATA BUNDA 2,20101515,S,6,62.33,36.67,20,79.37,"49,59",01,03,085
209, 0103086,SMK PERMATA BUNDA I,20101517,S,50,72.88,61.2,36.6,81.48,"63,04",01,03,086
210, 0103088,SMK REFORMASI,20101474,S,28,52.57,37.79,23.13,77.74,"47,81",01,03,088
211, 0103089,SMK SATRIA,20101471,S,427,66.66,48.69,32.4,85,"58,19",01,03,089
212, 0103090,SMK SUMPAH PEMUDA,20101480,S,499,64.76,46.12,34.24,84.34,"57,37",01,03,090
213, 0103091,SMK SANTO LEO,20101472,S,44,74.27,61.5,47.1,83.71,"66,65",01,03,091
214, 0103092,SMK SENTOSA,20101470,S,15,70.4,54.27,32,84.17,"60,21",01,03,092
215, 0103094,SMK SYANGGIT CENDEKIA,20101482,S,2,78,62,32.5,85.85,"64,59",01,03,094
216, 0103095,SMK TANJUNG,20101492,S,136,61.04,45.22,27.24,84.29,"54,45",01,03,095
217, 0103096,SMK TOMANG RAYA,20101489,S,27,55.19,38.59,29.17,78.83,"50,45",01,03,096
218, 0103098,SMK TUNAS HARAPAN,20101484,S,155,64.63,48.21,35.61,72.52,"55,24",01,03,098
219, 0103099,SMK TAMAN SAKTI,20101493,S,63,58.48,39.37,22.1,82.75,"50,68",01,03,099
220, 0103100,SMK TRI RATNA,20101485,S,32,75.06,71.75,44.14,84.15,"68,78",01,03,100
221, 0103101,SMK WIDYA PATRIA 2,20101483,S,141,64.52,48.96,30.5,81,"56,25",01,03,101
222, 0103102,SMK WIYATA SATYA,20101468,S,129,60.84,44.5,30.23,83.69,"54,82",01,03,102
223, 0103103,SMK YADIKA 2,20101561,S,205,69.12,60.59,38.65,83.19,"62,89",01,03,103
224, 0103104,SMK YMIK,20101559,S,297,64.96,51.71,36.6,82.83,"59,03",01,03,104
225, 0103105,SMK YADIKA 1,20101577,S,190,71.59,65.08,50.05,80.1,"66,71",01,03,105
226, 0103107,SMK IBU PERTIWI 1,20101679,S,19,62.95,49.16,38.16,82.06,"58,08",01,03,107
227, 0103109,SMK MUHAMMADIYAH 13,20101632,S,37,69.57,48.65,42.36,80.16,"60,19",01,03,109
228, 0103110,SMK TELADAN,20101490,S,12,62.17,57.67,35,81.16,"59,00",01,03,110
229, 0103111,SMK WIDYA PATRIA 1,20101582,S,9,66.44,54.22,35.28,76.09,"58,01",01,03,111
230, 0103112,SMK CANDRA NAYA,20104453,S,69,75.33,64.32,63.26,88.18,"72,77",01,03,112
231, 0103113,SMK TARUNA BAHARI,20101520,S,22,57.36,51,25.34,77.64,"52,84",01,03,113
232, 0103116,SMK STRADA II,20107273,S,42,77.1,55.62,41.67,85.85,"65,06",01,03,116
233, 0103124,SMK NEGERI 60,20101497,N,166,73.35,71.34,73.39,76.69,"73,69",01,03,124
234, 0103125,SMK PRIMA WISATA,20107268,S,297,64.35,53.98,33.06,79.4,"57,70",01,03,125
235, 0103127,SMK PADINDI,20109274,S,103,63.83,55.53,37.21,85.21,"60,45",01,03,127
236, 0103128,SMK GLOBAL PERSADA,20109458,S,46,60.48,44.48,24.51,82.27,"52,94",01,03,128
237, 0103129,SMK CINTA KASIH TZU CHI,20104454,S,89,77.21,76.18,73.51,82.31,"77,30",01,03,129
238, 0103130,SMK SETIA GAMA,20104460,S,26,58.54,46.08,22.88,82.27,"52,44",01,03,130
239, 0103131,SMK ERA PEMBANGUNAN,20104455,S,116,66.97,45.59,30.86,81.2,"56,16",01,03,131
240, 0103132,SMK YANDIKA,20109526,S,50,62.6,41.36,21.45,80.31,"51,43",01,03,132
241, 0103133,SMK AL FIRDAUS,20109415,S,32,59.38,40.13,23.28,80.23,"50,76",01,03,133
242, 0103134,SMK PGRI 36,20101477,S,45,64.84,56,31.83,84.83,"59,38",01,03,134
243, 0103135,SMK INSAN GLOBAL,20109187,S,111,69.71,61.62,48.54,83.38,"65,81",01,03,135
244, 0103138,SMK NUSANTARA,20109572,S,122,59.59,41.21,23.89,82.89,"51,90",01,03,138
245, 0103139,SMK DIDAKTIKA,20112446,S,62,61.58,41.45,22.7,82.48,"52,05",01,03,139
