No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah
33, 0101055,SMA BUNDA MULIA,20100486,S,34,82.96,72.93,64.71,69.89,71.91,67.89,-,01,01,055
34, 0101058,SMA YP. IPPI PETOJO,20100215,S,34,70.75,64.16,53.64,73.93,56.76,58.37,-,01,01,058
35, 0101060,SMA KANISIUS,20100170,S,160,85.85,83.7,81.57,89.77,84.73,83.77,-,01,01,060
36, 0101062,SMA KRISTEN BETHEL,20100188,S,4,68.78,40.83,78.53,87.73,51.25,48.75,-,01,01,062
37, 0101063,SMA MUHAMMADIYAH 14,20100184,S,8,56.01,55,74.14,85.79,47.19,58.21,-,01,01,063
38, 0101067,SMA SAID NAUM,20108502,S,14,72.21,54.24,60.34,59.15,49.11,53.36,-,01,01,067
39, 0101068,SMA SANTO PAULUS,20100179,S,13,82.47,69.38,41.82,63.56,54.62,54.38,-,01,01,068
40, 0101070,SMA ST. BELLARMINUS,20108507,S,22,80.85,76.76,59.6,67.51,61.14,60,-,01,01,070
41, 0101071,SMA SUNDA KELAPA,20100180,S,4,71.9,51.55,67.7,81.25,60,64.13,-,01,01,071
42, 0101072,SMA TARSISIUS I,20100197,S,39,81.34,73.64,60.72,70.37,67.95,54.84,-,01,01,072
43, 0101073,SMA SANTA THERESIA,20100198,S,85,85.64,80.22,78.01,88.34,81.76,78.18,-,01,01,073
44, 0101076,SMA KRISTEN KETAPANG I,20100191,S,15,86.99,80.24,85.66,91.41,85,84.42,-,01,01,076
45, 0101077,SMA MAHATMA GANDHI,20100194,S,19,83.45,83.31,77.02,85.86,76.58,68.79,-,01,01,077
46, 0101078,SMA KRISTEN NASIONAL ANGLO,20108504,S,7,81.77,76.47,60.47,52.94,60.71,64.83,-,01,01,078
47, 0101079,SMA UNIVERSAL,20107251,S,11,79.95,81.98,61.43,79.03,69.55,56.15,-,01,01,079
48, 0101080,SMA HATI SUCI,20108501,S,8,83.09,64.41,47.9,63.41,64.06,62.23,-,01,01,080
49, 0101081,SMA PSKD MANDIRI,20107250,S,11,76.69,79.15,47.56,58.58,52.27,56.7,-,01,01,081
50, 0101082,SMA KRISTEN CALVIN,20112503,S,17,83.86,83.78,69.06,82.51,77.79,72.34,-,01,01,082
51, 0101166,MA NEGERI 3 JAKARTA,60725001,N,69,67.6,71.54,67.14,83.53,68.7,64.75,-,01,01,166
52, 0101168,MA JAMIAT KHEIR,60725008,S,13,73.74,81.92,78.05,90.84,73.27,70.41,-,01,01,168
53, 0101169,MA AL-MUDDATSIRIYAH,60724994,S,34,64.26,76.87,74.66,82.75,68.68,67.4,-,01,01,169
54, 0102001,SMA NEGERI 52,20100797,N,120,83.08,75.07,74.26,83.19,77.25,72.2,-,01,02,001
55, 0102002,SMA NEGERI 69,20107185,N,50,69.55,40.92,23.76,26.73,29.85,39.76,-,01,02,002
56, 0102003,SMA NEGERI 73,20100795,N,77,77.56,64.23,56.64,73.91,67.21,61.16,-,01,02,003
57, 0102004,SMA NEGERI 75,20100779,N,104,78.41,78.81,78.6,86.68,76.83,69.65,-,01,02,004
58, 0102005,SMA NEGERI 83,20100781,N,77,78.84,58.68,42.62,69.5,58.34,59.4,-,01,02,005
59, 0102006,SMA NEGERI 92,20100782,N,99,75.65,70.83,57.77,80.52,62.55,61.87,-,01,02,006
60, 0102007,SMA NEGERI 114,20100804,N,77,71.78,76.74,73.69,81.65,63.7,67.01,-,01,02,007
61, 0102008,SMA NEGERI 115,20100805,N,111,77.04,52.96,43.6,64.67,50.38,54.19,-,01,02,008
62, 0102009,SMA NURUL FALAH,20107387,S,16,63.13,35.93,20.19,23.59,25.31,25.09,-,01,02,009
63, 0102010,SMA NUSANTARA,20107388,S,16,61.64,39.72,26.1,64.39,58.59,47.79,-,01,02,010
64, 0102015,SMA NEGERI 13,20100806,N,149,84.58,81.21,80.07,87.88,81.43,77.14,-,01,02,015
65, 0102016,SMA NEGERI 45,20100812,N,111,80.27,67.89,60.56,71.47,61.19,61.72,-,01,02,016
66, 0102017,SMA NEGERI 72,20100796,N,115,80.25,72.53,70.93,77.56,68.13,65.24,-,01,02,017
67, 0102018,SMA NEGERI 110,20100802,N,54,79.43,73.92,68.94,77.78,71.57,66.86,-,01,02,018
68, 0102019,SMA AL-KHAIRIYAH,20107368,S,32,70.01,44.17,60.12,69.74,69.38,57.01,-,01,02,019
69, 0102021,SMA DON BOSCO 1,20100616,S,21,86.17,80.6,74.94,79.19,75.36,76.28,-,01,02,021
70, 0102022,SMA FONS VITAE 2,20100614,S,15,84.43,66.4,58.17,60.5,58.17,61.96,-,01,02,022
71, 0102023,SMA KRISTEN 5 BPK PENABUR,20100601,S,133,84.68,82.53,81.43,91.56,85.7,79.65,-,01,02,023
72, 0102024,SMA PGRI 12,20100608,S,17,60.82,63.05,62.29,85.98,70.29,58.57,-,01,02,024
73, 0102025,SMA TANJUNG PRIOK,20107395,S,30,68.25,62.94,68.58,72.17,56.08,57.04,-,01,02,025
74, 0102026,SMA TUNAS KARYA,20100778,S,6,74.2,68.22,33.98,38.58,37.92,50.62,-,01,02,026
75, 0102028,SMA YUSHA,20100801,S,32,51.32,47.01,56.83,77.65,54.53,59.7,-,01,02,028
76, 0102029,SMA ISLAM AL-AZHAR KELAPA GADING,20100600,S,46,81.34,77.31,69.53,75.92,68.59,65.87,-,01,02,029
77, 0102033,SMA NEGERI 15,20100807,N,80,75.37,56.77,54.66,75.52,62.53,55.55,-,01,02,033
78, 0102034,SMA NEGERI 18,20100809,N,68,80.77,76,67.14,80.85,67.65,68.35,-,01,02,034
79, 0102035,SMA NEGERI 40,20100810,N,71,80.73,67,56.29,66.79,55.49,61.35,-,01,02,035
80, 0102036,SMA NEGERI 80,20100780,N,119,79.72,74.92,68.48,80.15,62.44,67.57,-,01,02,036
81, 0102037,SMA NEGERI 111,20100803,N,40,78.4,65.5,58.94,70.53,71.5,66.2,-,01,02,037
82, 0102040,SMA CHANDRA KUSUMA,20107372,S,23,79.33,79.71,46.45,59.79,51.96,60.1,-,01,02,040
83, 0102041,SMA DHARMA BUDHI BHAKTI,20100630,S,17,80.12,77.07,51.79,75.88,55.74,59.86,-,01,02,041
84, 0102042,SMA DHARMA PUTRA,20107373,S,24,58.53,49.34,56.88,84.78,56.88,61.91,-,01,02,042
85, 0102043,SMA DARMA SATRIA  PERSADA,20107374,S,10,78.03,77.23,69.92,85.5,68.25,63.06,-,01,02,043
86, 0102044,SMA DIAKONIA,20100631,S,7,76.94,66.79,46.41,46.2,53.93,38.71,-,01,02,044
87, 0102046,SMA GANDHI ANCOL,20100599,S,45,82.52,83.21,68.19,86.07,74.11,70.67,-,01,02,046
88, 0102048,SMA GITA KIRTTI 2,20107377,S,9,67.1,48.36,68.71,79.5,39.72,42.56,-,01,02,048
89, 0102049,SMA SAINT NICHOLAS,20100612,S,13,82.79,81.42,69.28,82.24,71.54,76,-,01,02,049
90, 0102053,SMA KRISTEN YUSUF,20100603,S,31,84.88,80.42,91.21,79.98,80.56,76.84,-,01,02,053
91, 0102057,SMA PERMAI,20100607,S,40,85.13,79.26,74.32,83.35,74,73.8,-,01,02,057
92, 0102058,SMA PERMATA INDAH,20107389,S,16,78.28,69.09,53.25,57.39,62.19,54.01,-,01,02,058
93, 0102060,SMA PUSAKA ABADI,20100610,S,13,77.25,76.3,51.83,59.4,67.88,58.83,-,01,02,060
94, 0102061,SMA SANTO LUKAS I,20107391,S,16,78.36,67.9,44.62,78.51,53.59,60.24,-,01,02,061
95, 0102062,SMA STELLA MARIS,20107393,S,10,82.98,70.48,42.5,58.72,53.25,53.91,-,01,02,062
96, 0102063,SMA TARAKANITA 2,20100613,S,47,83.63,79.98,70.92,79.04,83.56,75.96,-,01,02,063
97, 0102066,SMA WIJAYAKUSUMA,20107398,S,30,70.66,62.45,41.53,80.22,66.67,65.44,-,01,02,066
98, 0102068,SMA YAPPENDA,20107400,S,66,64.93,51.03,50.08,63.97,56.63,47.85,-,01,02,068
99, 0102070,SMA CAHAYA KUDUS,20107371,S,12,76.29,74.68,57.93,73,57.08,55.83,-,01,02,070
100, 0102071,SMA NEGERI 41,20100811,N,78,74.16,64.77,61.59,70.71,54.87,56.99,-,01,02,071
101, 0102072,SMA METHODIST,20100605,S,32,86.16,81.02,79.25,85.04,75,69.33,-,01,02,072
102, 0102074,SMA DHARMA SUCI,20107375,S,27,81.11,76.39,66.4,79.75,63.98,58.56,-,01,02,074
103, 0102076,SMA SANTO YAKOBUS,20100799,S,81,84.86,77.84,73.09,87.11,80.06,77.04,-,01,02,076
104, 0102077,SMA JUBILEE,20107380,S,68,80.76,81.97,64.34,78.92,70.55,68.23,-,01,02,077
105, 0102078,SMA KRISTEN IPEKA SUNTER,20107383,S,59,84.05,82.7,80.16,90.87,83.31,77.57,-,01,02,078
106, 0102079,SMA BUNGA HATI BANGSA,20100629,S,6,84.83,67.88,64.58,70.52,49.58,46.45,-,01,02,079
107, 0102080,SMA SANTA MARIA DELLA STRADA,20107394,S,16,81.3,69.64,49.38,47.19,52.5,54.69,-,01,02,080
108, 0102082,SMA KRISTEN TUNAS BANGSA,20107384,S,26,84.85,75.92,67.75,69.26,68.56,67.21,-,01,02,082
109, 0102085,SMA MAHATMA GADING,20100604,S,21,84.24,82.89,73.01,80.22,70.48,69.58,-,01,02,085
110, 0102086,SMA BUDI AGUNG,20100628,S,27,81.87,75.5,60.32,71.28,56.48,63.1,-,01,02,086
111, 0102089,SMA KRISTEN MAWAR SARON,20107386,S,2,85.55,88.6,66.25,76.6,83.75,75,-,01,02,089
112, 0102090,SMA SAINT PETER,20107390,S,10,81.3,85.26,69.86,78.24,79.5,64.81,-,01,02,090
113, 0102091,SMA TUNAS GADING,20100632,S,11,71.44,67.04,34.09,43.93,40.68,54.99,-,01,02,091
114, 0102092,SMA BINA TUNAS BANGSA,20107370,S,6,66.85,74.4,32.72,28.33,42.92,48.05,-,01,02,092
115, 0102094,SMA IPEKA PLUIT,20107382,S,45,84.71,80.94,70.8,84.08,78.67,75.03,-,01,02,094
116, 0102095,SMA MARIE JOSEPH,20109180,S,15,80.77,77.71,62.01,80.69,67.17,72.69,-,01,02,095
117, 0102096,SMA KRISTEN 6 BPK PENABUR,20110335,S,58,85.41,81.64,84.3,89.57,85.22,81.81,-,01,02,096
118, 0102171,MA NEGERI 5,20177971,N,29,71.18,61.44,42.8,72.6,54.66,46.04,-,01,02,171
119, 0102172,MA AL-WATHONIYAH 43,20177969,S,11,73.38,44.92,21.21,35.35,31.59,41.52,-,01,02,172
120, 0102173,MA YAPIS,20177975,S,14,62.87,43.57,25.48,23.74,26.79,37.31,-,01,02,173
121, 0102175,MA AL-KHAIRIYAH,20177967,S,16,65.58,38.03,20.97,25.42,27.97,27.94,-,01,02,175
122, 0102176,MA RAUDHATUL JANNATINNAIM,20177974,S,36,57.5,69.48,23.85,88.85,26.04,37.54,-,01,02,176
123, 0102202,MA AL-JIHAD,20177966,S,13,58.21,34.32,17.65,21.37,22.31,26.3,-,01,02,202
124, 0102204,MA NEGERI 21,20177972,N,20,71.71,49.03,32.19,44.24,30.5,45.88,-,01,02,204
125, 0102205,SMA KRISTEN PENABUR KELAPA GADING,20177804,S,14,81.54,83.09,79.62,85.74,87.86,77.39,-,01,02,205
126, 0102206,SMA UNIVERSAL,69810047,S,6,79.97,82.22,51.13,52.7,51.67,55.12,-,01,02,206
127, 0102207,SMA WESTIN,69873573,S,2,92.8,80.55,82.5,86.9,80,77.5,-,01,02,207
128, 0102208,SMA PELANGI KASIH,69755458,S,17,81.93,84.26,79.09,87.81,77.21,78.58,-,01,02,208
129, 0103001,SMA NEGERI 23,20101621,N,80,80.53,63.85,55.09,71.9,63.22,56.53,-,01,03,001
130, 0103002,SMA AL-CHASANAH,20107269,S,23,78.21,52.36,36.89,45.81,44.02,49.6,-,01,03,002
131, 0103003,SMA BUNDA HATI KUDUS,20101332,S,46,82.7,79.46,69.1,80.28,78.75,74.11,-,01,03,003
132, 0103004,SMA DHARMA JAYA,20104412,S,8,84.29,75.53,50.1,63.78,51.56,55.06,-,01,03,004
133, 0103006,SMA GALATIA 2,20101351,S,6,71.17,51.33,32.7,40.62,43.33,25.15,-,01,03,006
134, 0103007,SMA KRISTEN IMMANUEL,20104425,S,3,80.97,66.07,60,61.37,50.83,52.13,-,01,03,007
135, 0103008,SMA KRISTEN 1 BPK PENABUR,20101306,S,186,87.09,84.7,88.64,94.56,92.58,85.14,-,01,03,008
136, 0103009,SMA MUHAMMADIYAH 13,20101326,S,17,72.8,56.17,30.46,47.48,44.26,54.5,-,01,03,009
137, 0103011,SMA K PANCARAN BERKAT,20101346,S,9,78.51,69.87,53.69,53.66,60.56,46.06,-,01,03,011
138, 0103013,SMA YP-BDN,20101628,S,20,71.43,67.87,70.85,79.59,59.25,62.9,-,01,03,013
139, 0103014,SMA SANTO KRISTOFORUS I,20101616,S,27,83.32,78.7,64.15,80.63,70.28,62.61,-,01,03,014
140, 0103015,SMA TUNAS HARAPAN,20101606,S,18,69.74,59.05,27.63,47.53,43.47,56.94,-,01,03,015
141, 0103016,SMA YADIKA 1,20101619,S,55,72.49,68.41,37.23,79.43,57.82,63.16,-,01,03,016
142, 0103017,SMA NEGERI 2,20101622,N,120,84.34,75.73,64.76,80.66,79.21,73.38,-,01,03,017
143, 0103018,SMA NEGERI 17,20101624,N,113,74.17,61.37,57.67,70.47,65.75,60.38,-,01,03,018
144, 0103019,SMA NEGERI 19,20101623,N,62,74.27,56.15,37.97,70.49,65,61.43,-,01,03,019
145, 0103020,SMA BHINNEKA TUNGGAL IKA,20101337,S,33,84.01,78.12,79.62,83.62,77.2,69.24,-,01,03,020
146, 0103021,SMA CANDRA NAYA,20101330,S,21,77.36,70.57,45.02,73.26,62.02,59.81,-,01,03,021
147, 0103023,SMA DAMAI,20101342,S,17,84.11,79.59,65.11,74.04,66.47,70.42,-,01,03,023
148, 0103024,SMA DHAMMASAVANA,20101343,S,3,84.97,72.7,58.8,65.83,50.83,53.03,-,01,03,024
149, 0103026,SMA KRISTEN KALAM KUDUS I,20104427,S,3,80.13,69.27,57.47,59.83,49.17,51.27,-,01,03,026
150, 0103027,SMA KATOLIK RICCI,20101311,S,59,83.94,78.49,61.79,75.34,73.18,61.9,-,01,03,027
151, 0103028,SMA KEMURNIAN,20107271,S,13,84.25,80.95,72.99,80.85,72.5,69.39,-,01,03,028
152, 0103031,SMA PELITA IV,20104436,S,21,78.05,71.11,57.16,69.58,62.14,63.69,-,01,03,031
153, 0103033,SMA SANTO LEO,20101614,S,4,83.13,68.75,48.13,52.1,40.63,48.45,-,01,03,033
154, 0103036,SMA TRI RATNA,20101608,S,16,82.13,71.49,53.93,69.12,64.84,58.91,-,01,03,036
155, 0103039,SMA NEGERI 56,20101605,N,118,75.9,70.42,60.21,79.91,67.67,63.67,-,01,03,039
156, 0103040,SMA NEGERI 84,20101587,N,120,82.89,76.06,77.57,85.41,79.71,74.13,-,01,03,040
157, 0103041,SMA NEGERI 94,20101585,N,78,82.17,69.41,48.79,75.8,71.89,63.11,-,01,03,041
158, 0103042,SMA NEGERI 95,20101584,N,119,80.26,70.97,57.33,72.7,65.59,64.14,-,01,03,042
159, 0103043,SMA SAN MARINO,20101467,S,20,81.41,77.93,72.35,77.74,73,82.78,-,01,03,043
160, 0103044,SMA GALATIA 3,20101352,S,14,75.4,59.64,49.06,69.6,47.5,45.35,-,01,03,044
161, 0103047,SMA YADIKA 2,20101630,S,42,77.99,80.85,67.8,85.28,75.95,68.97,-,01,03,047
162, 0103048,SMA FAJRUL ISLAM,20101354,S,16,66.71,37.6,26.77,26.86,35,31.39,-,01,03,048
163, 0103049,SMA NEGERI 33,20101620,N,120,85.25,73.99,72.85,82.81,76.33,79.18,-,01,03,049
164, 0103050,SMA NEGERI 96,20101583,N,78,77.89,64.97,48.71,68.71,67.72,64.38,-,01,03,050
165, 0103051,SMA AL-HUDA,20101340,S,71,65.82,73.87,48.26,86.83,66.65,65.21,-,01,03,051
166, 0103052,SMA CENGKARENG I,20101329,S,50,66.96,48.74,40.8,68.65,58.8,50.65,-,01,03,052
167, 0103054,SMA HARAPAN JAYA,20101350,S,18,63.8,64.16,27.11,83.46,62.5,62.62,-,01,03,054
168, 0103055,SMA IP YAKIN,20101349,S,22,60.53,51,43.63,82.23,65.11,49.91,-,01,03,055
169, 0103056,SMA KATOLIK BINTANG KEJORA,20104422,S,17,79.2,62.42,49.55,53.92,59.12,54.05,-,01,03,056
170, 0103057,SMA KRISTEN KALAM KUDUS II,20104426,S,19,81.3,79.33,71.38,77.58,70.13,67.99,-,01,03,057
171, 0103058,SMA LAMAHOLOT,20101314,S,15,67.91,57.12,23.65,49.47,27.83,48.45,-,01,03,058
172, 0103059,SMA TRINITAS,20101607,S,19,81.18,69.08,41.59,61.83,43.55,50.08,-,01,03,059
173, 0103060,SMA VIANNEY,20101618,S,48,82.16,73.03,58.09,63.84,53.13,57.24,-,01,03,060
174, 0103061,SMA NEGERI 57,20101604,N,75,78.63,69.26,62.55,80.05,71.53,64.85,-,01,03,061
175, 0103062,SMA NEGERI 65,20101589,N,174,84.43,79.38,79.64,86.37,77.83,75.13,-,01,03,062
176, 0103063,SMA NEGERI 85,20101586,N,120,82.07,77.23,75.53,83.12,74.65,72.71,-,01,03,063
177, 0103064,SMA NEGERI 101,20101627,N,160,78.05,72.93,53.58,79.53,67.2,66.57,-,01,03,064
178, 0103065,SMA NEGERI 112,20101626,N,156,83.05,79.07,76.73,88.05,80.71,76.1,-,01,03,065
179, 0103066,SMA ABDI SISWA,20104421,S,21,87.63,81.46,79.96,85.3,81.43,78.78,-,01,03,066
180, 0103067,SMA AL KAMAL,20104405,S,19,69.19,67.74,65.49,79.67,63.29,57.19,-,01,03,067
181, 0103068,SMA BUDI MURNI 2,20101334,S,24,65.05,42.43,39.07,69.45,51.15,43.91,-,01,03,068
182, 0103070,SMAK IPEKA INTEGRATED CHRISTIAN SCHOOL,20104423,S,2,81.55,75.65,85,89.65,81.25,68.4,-,01,03,070
183, 0103074,SMA KEMURNIAN II,20101307,S,32,83.13,80.24,74.06,81.64,70.86,65.85,-,01,03,074
184, 0103075,SMA KRISTEN 4 PENABUR,20101305,S,52,86.23,83.58,83.79,92.17,80.82,84.68,-,01,03,075
185, 0103076,SMA KRISTEN SAMARIA KUDUS,20101313,S,19,76.89,66.75,52.21,65.25,68.82,62.37,-,01,03,076
186, 0103077,SMA NOTRE DAME,20101324,S,27,84.51,77.51,71.93,80.82,75.09,74.32,-,01,03,077
187, 0103078,SMA PELITA II,20101322,S,30,84.59,77.39,52.82,61.54,63.67,64.65,-,01,03,078
188, 0103080,SMA SANG TIMUR,20104432,S,67,83.07,79.99,66.19,84.51,75.15,72.6,-,01,03,080
189, 0103081,SMA TARSISIUS II,20101610,S,52,78.86,68.56,41.88,54.71,48.51,60.82,-,01,03,081
190, 0103083,SMA YADIKA 5,20101629,S,68,78.66,71.08,62.02,69.07,54.85,58.75,-,01,03,083
191, 0103084,SMA KRISTEN PETRA,20104430,S,5,82.92,84.06,42,50.66,56,50.74,-,01,03,084
192, 0103085,SMA KRISTEN KETAPANG II,20101302,S,4,87.75,85.23,83.68,84.58,76.25,80.38,-,01,03,085
193, 0103088,SMA NEGERI 16,20101625,N,120,81.15,70,54.23,73.23,61.75,62.41,-,01,03,088
194, 0103089,SMA NEGERI 78,20101588,N,289,84.25,82.94,81.91,83.56,83.2,77.56,-,01,03,089
195, 0103090,SMA 1 BARUNAWATI,20101173,S,22,79.02,68.72,63.44,65.15,57.5,59.45,-,01,03,090
196, 0103091,SMA MUHAMMADIYAH 15,20104433,S,19,74.52,68.27,39.87,76.75,72.76,60.23,-,01,03,091
197, 0103093,SMA REGINA PACIS,20101301,S,54,85.52,79.9,74.73,83.01,73.01,74.94,-,01,03,093
198, 0103095,SMA BAPTIS CENGKARENG INDAH,20101339,S,8,77.48,62.69,65.83,67.38,55,66.06,-,01,03,095
199, 0103096,SMA KRISTEN ALMASIH,20101304,S,15,79.68,72.25,56.42,55.65,62,60.79,-,01,03,096
200, 0103099,SMA SANTO LEO II,20101613,S,18,84.73,74.43,68.84,74.67,67.78,65.61,-,01,03,099
201, 0103100,SMA KRISTEN KALAM KUDUS III,20101327,S,9,83.31,78.63,75.49,81.88,72.78,64.28,-,01,03,100
202, 0103101,SMA KRISTEN IPEKA TOMANG,20104424,S,76,85.19,82.36,79.93,89.74,84.24,79.6,-,01,03,101
203, 0103104,SMA BINA BANGSA,20104408,S,1,62,77.6,47.5,60.5,80,80,-,01,03,104
204, 0103105,SMA SANTO KRISTOFORUS II,20101615,S,57,84.35,79.67,63.7,76.24,70.31,66.69,-,01,03,105
205, 0103106,SMA PROVIDENTIA,20101318,S,14,83.21,76.19,70.87,83.34,75,72.14,-,01,03,106
206, 0103107,SMA SANTO ANDREAS,20101631,S,21,79.99,70.33,52.96,62.74,54.64,49.57,-,01,03,107
207, 0103115,SMA CAHAYA FADILAH,20104409,S,10,66.03,70.5,45.31,82.9,67,59.86,-,01,03,115
208, 0103116,SMA DIAN KASIH,20104414,S,22,81.68,79.19,64.7,75.03,69.43,69.83,-,01,03,116
209, 0103117,SMA KRISTEN TIARA KASIH,20104419,S,24,84,78.93,77.68,80.65,73.85,68.98,-,01,03,117
210, 0103121,SMA IMPIAN BUNDA,20104416,S,16,70.09,70.61,30.79,32.03,37.5,32.62,-,01,03,121
211, 0103123,SMA TUNAS MUDA,20104439,S,7,83.49,85.41,49.63,62.63,58.21,54.1,-,01,03,123
212, 0103124,SMA DIAN HARAPAN,20104413,S,55,85.1,82.58,76.16,85.77,78.14,74.03,-,01,03,124
213, 0103126,SMA MUTIARA BANGSA 3,20109062,S,16,82.12,79.81,63.67,68.24,70.63,60.17,-,01,03,126
214, 0103127,SMA BUKIT SION,20104407,S,39,79.96,81.32,56.79,64.02,50.58,56.38,-,01,03,127
215, 0103128,SMA SUMPAH PEMUDA,20104438,S,16,69.58,51.56,49.19,63.19,67.66,64.98,-,01,03,128
216, 0103129,MA NEGERI 1 JAKARTA,60725010,N,25,75.24,68.06,63.11,72.58,57.9,64.43,-,01,03,129
217, 0103130,MA AL HIDAYAH,60725439,S,32,71.38,51.76,33.14,59,36.56,52.73,-,01,03,130
218, 0103137,MA AL-FALAH,60724987,S,25,82.86,74.16,52.64,74.11,67.4,66.82,-,01,03,137
219, 0103151,MA NEGERI 10 JAKARTA,60725017,N,30,74.68,71.82,51.93,82.62,60.92,64.42,-,01,03,151
220, 0103152,MA MANBAUL ULUM ASSHIDDIQIYAH,60725014,S,35,71.87,74.36,47.69,84.07,64,65.6,-,01,03,152
221, 0103203,MA NEGERI 12 JAKARTA,60725005,N,83,74.79,63.22,52.66,68.73,61.87,57.56,-,01,03,203
222, 0103209,MA NEGERI 16 JAKARTA,60725012,N,34,73.84,59.43,47.49,53.84,49.04,54.02,-,01,03,209
223, 0103210,MA NEGERI 17 JAKARTA,60725006,N,31,62.66,63.37,35.72,81.84,58.87,44.31,-,01,03,210
224, 0103212,SMA KASIH KARUNIA,20109326,S,32,83.73,78.3,64.45,75.39,74.14,64.53,-,01,03,212
225, 0103213,SMA KRISTEN IPEKA PURI INDAH,20109467,S,74,86.86,82.86,79.94,88.63,81.89,81.18,-,01,03,213
226, 0103215,MA NEGERI 22 JAKARTA,60725019,N,27,74.24,65.83,45.39,83.7,69.07,65.95,-,01,03,215
227, 0103216,SMA KRISTEN 8 PENABUR,20177805,S,6,86.68,86.7,81.87,87.85,81.25,76.98,-,01,03,216
228, 0103217,SMA CINTA KASIH TZU CHI,20109971,S,23,84.21,74.86,58,62.87,58.8,63.37,-,01,03,217
