,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
73309,46,3310002,SMK NEGERI 1 YEMBUN,69899493,N,10,82.2,62.2,73.25,56.5,"68,54",33,10,2,2018,PAPUA BARAT,KABUPATEN TAMBRAUW
44218,746,724122,SMK NEGERI 1 SUSUA,10260682,N,44,69.23,66.14,73.13,51.25,"64,94",7,24,122,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
23044,792,320001,SMK NEGERI 1 SUKOHARJO,20310436,N,355,84.17,67.08,72.94,69.74,"73,48",3,20,1,2018,JAWA TENGAH,KABUPATEN SUKOHARJO
61763,66,2107103,SMK NEGERI 1 PULAU GOROM,60103540,N,43,74.42,67.44,72.79,67.33,"70,50",21,7,103,2018,MALUKU,SERAM BAGIAN TIMUR
67502,90,2708004,SMK NEGERI 1 MANGOLI SELATAN,60202243,N,38,79.95,68.0,72.7,29.28,"62,48",27,8,4,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
44221,749,724125,SMK NEGERI 1 IDANOTAE,10261287,N,51,62.27,69.14,72.55,58.97,"65,73",7,24,125,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
72893,91,3204032,SMK MIKOYA,69830427,S,6,72.33,52.67,72.5,52.08,"62,40",32,4,32,2018,SULAWESI BARAT,KABUPATEN MAMASA
266,12,101014,SMK BUNDA MULIA 1,20107252,S,180,81.03,79.39,72.47,66.9,"74,95",1,1,14,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
66090,53,2506005,SMK NEGERI 1 WAMENA,60302993,N,17,73.06,49.18,72.35,49.85,"61,11",25,6,5,2018,PAPUA,KABUPATEN JAYAWIJAYA
73257,35,3307001,SMK NEGERI 1 RAJA AMPAT,60402058,N,9,72.89,64.89,72.22,68.89,"69,72",33,7,1,2018,PAPUA BARAT,KABUPATEN RAJA AMPAT
27935,124,404110,SMK NEGERI 1 TEMPEL,20401136,N,280,82.51,63.66,72.17,67.21,"71,39",4,4,110,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
46975,117,905107,SMK TARUNA BHAKTI INDONESIA,69815476,S,46,72.91,74.61,72.17,64.62,"71,08",9,5,107,2018,RIAU,KABUPATEN INDRAGIRI HILIR
21654,559,314001,SMK NEGERI 1 TEMANGGUNG,20321425,N,447,81.17,63.3,72.16,61.99,"69,66",3,14,1,2018,JAWA TENGAH,KABUPATEN TEMANGGUNG
1324,155,103022,SMK NEGERI 9,20101496,N,198,80.6,63.8,72.1,69.23,"71,43",1,3,22,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
67576,109,2710007,SMK NEGERI 1 TALIABU SELATAN,60202247,N,41,67.71,59.56,71.95,47.2,"61,61",27,10,7,2018,MALUKU UTARA,KABUPATEN PULAU TALIABU
66464,116,2523001,SMK NEGERI 1 KENYAM,69962940,N,9,68.89,71.33,71.94,65.28,"69,36",25,23,1,2018,PAPUA,KABUPATEN NDUGA
27143,3,401105,SMK NEGERI 1 YOGYAKARTA,20404180,N,192,81.89,64.13,71.94,64.51,"70,62",4,1,105,2018,DI YOGYAKARTA,KOTA YOGYAKARTA
65031,106,2406013,SMK NEGERI BAKALANG,69757332,N,31,66.19,73.81,71.85,62.34,"68,55",24,6,13,2018,NUSA TENGGARA TIMUR,KABUPATEN ALOR
61592,39,2103114,SMK NEGERI NUSA LAUT,69770334,N,15,83.07,68.93,71.67,77.5,"75,29",21,3,114,2018,MALUKU,MALUKU TENGAH
67506,94,2708008,SMK NEGERI 2 MANGOLI SELATAN,60202244,N,26,80.08,67.77,71.54,52.21,"67,90",27,8,8,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
40502,111,701224,SMK SWASTA PELAYARAN BAHARI,10260085,S,18,74.0,67.78,71.53,57.22,"67,63",7,1,224,2018,SUMATERA UTARA,KOTA MEDAN
5659,383,204908,SMK SMAK BOGOR (4 TH KELAS 3),20238524,N,308,83.25,82.77,71.51,72.48,"77,50",2,4,908,2018,JAWA BARAT,KOTA BOGOR
67448,86,2707005,SMK NEGERI 2 HALMAHERA TIMUR,69773557,N,47,70.72,70.64,71.33,60.11,"68,20",27,7,5,2018,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
2156,329,104092,SMK TARAKANITA,20102435,S,104,80.69,75.67,71.15,63.87,"72,85",1,4,92,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
67509,97,2708011,SMK NEGERI MANGOLI TENGAH,60202463,N,57,85.23,76.07,71.14,71.36,"75,95",27,8,11,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
64810,63,2403016,SMK NEGERI OEHANI,69847634,N,18,76.56,58.22,71.11,33.06,"59,74",24,3,16,2018,NUSA TENGGARA TIMUR,KABUPATEN TTS
61762,65,2107102,SMK NEGERI 2 BULA,60103627,N,14,81.86,64.86,71.07,57.5,"68,82",21,7,102,2018,MALUKU,SERAM BAGIAN TIMUR
66355,103,2514001,SMK NEGERI 1 WAROPEN,60304980,N,23,77.04,39.91,70.65,51.74,"59,84",25,14,1,2018,PAPUA,KABUPATEN WAROPEN
61920,98,2110109,SMK NEGERI PASIR PUTIH,69824466,N,20,65.1,73.9,70.63,61.88,"67,88",21,10,109,2018,MALUKU,BURU SELATAN
20372,314,309001,SMK NEGERI 1 CILACAP,20300744,N,483,82.97,66.88,70.6,58.99,"69,86",3,9,1,2018,JAWA TENGAH,KABUPATEN CILACAP
72896,94,3204035,SMK NEGERI 1 TANDUKKALUA,69854729,N,23,69.13,54.43,70.54,53.15,"61,81",32,4,35,2018,SULAWESI BARAT,KABUPATEN MAMASA
72882,80,3204021,SMKS AWARA ARALLE,69759072,S,20,54.2,84.5,70.5,64.75,"68,49",32,4,21,2018,SULAWESI BARAT,KABUPATEN MAMASA
46979,121,905111,SMK PENGALIHAN,69759872,S,32,75.81,58.38,70.47,60.94,"66,40",9,5,111,2018,RIAU,KABUPATEN INDRAGIRI HILIR
27954,143,404131,SMK NEGERI 1 DEPOK,20401193,N,286,83.27,65.5,70.45,67.74,"71,74",4,4,131,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
66433,118,2525001,SMK NEGERI 1 ILAGA,60304127,N,19,77.79,71.89,70.39,52.76,"68,21",25,25,1,2018,PAPUA,KABUPATEN PUNCAK
307,53,101069,SMK ST. MARIA,20100299,S,124,78.79,81.4,70.36,46.53,"69,27",1,1,69,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
5864,385,205101,SMK NEGERI 1 CIMAHI,20224136,N,608,78.61,66.09,70.34,62.58,"69,41",2,5,101,2018,JAWA BARAT,KOTA CIMAHI
73087,6,3301007,SMK KESEHATAN TERPADU,60403734,S,15,73.07,61.2,70.33,56.33,"65,23",33,1,7,2018,PAPUA BARAT,KABUPATEN MANOKWARI
61768,71,2107109,SMK NEGERI GOROM TIMUR,69725968,S,41,61.22,70.05,70.18,68.48,"67,48",21,7,109,2018,MALUKU,SERAM BAGIAN TIMUR
66321,98,2511002,SMK NEGERI 2 KEEROM,69725912,N,17,76.35,61.41,70.15,70.44,"69,59",25,11,2,2018,PAPUA,KABUPATEN KEEROM
65034,109,2406016,SMKN ALOR BESAR,69864625,N,17,76.59,60.35,70.15,58.68,"66,44",24,6,16,2018,NUSA TENGGARA TIMUR,KABUPATEN ALOR
72895,93,3204034,SMK HARAPAN,69893698,S,57,45.09,65.47,70.04,33.73,"53,58",32,4,34,2018,SULAWESI BARAT,KABUPATEN MAMASA
21255,502,312229,SMK SYUBBANUL WATHON TEGALREJO,20338281,S,342,79.2,57.65,69.9,54.16,"65,23",3,12,229,2018,JAWA TENGAH,KABUPATEN MAGELANG
44205,733,724109,SMK SWASTA NUSANTARA TERPADU,10258238,S,55,59.31,81.2,69.86,47.68,"64,51",7,24,109,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
703,79,102021,SMK NEGERI 12 JAKARTA,20100783,N,173,82.13,64.46,69.83,64.02,"70,11",1,2,21,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
