,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
61917,95,2110106,SMK NEGERI SIMI,60103991,N,40,68.35,53.05,88.44,69.56,"69,85",21,10,106,2018,MALUKU,BURU SELATAN
1397,228,103124,SMK NEGERI 60,20101497,N,173,79.33,65.41,69.51,64.8,"69,76",1,3,124,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
52732,14,1301014,SMK IMMANUEL PONTIANAK,30105216,S,219,76.86,72.61,65.61,63.84,"69,73",13,1,14,2018,KALIMANTAN BARAT,KOTA PONTIANAK
73257,35,3307001,SMK NEGERI 1 RAJA AMPAT,60402058,N,9,72.89,64.89,72.22,68.89,"69,72",33,7,1,2018,PAPUA BARAT,KABUPATEN RAJA AMPAT
21654,559,314001,SMK NEGERI 1 TEMANGGUNG,20321425,N,447,81.17,63.3,72.16,61.99,"69,66",3,14,1,2018,JAWA TENGAH,KABUPATEN TEMANGGUNG
66321,98,2511002,SMK NEGERI 2 KEEROM,69725912,N,17,76.35,61.41,70.15,70.44,"69,59",25,11,2,2018,PAPUA,KABUPATEN KEEROM
3193,437,105064,SMK NEGERI 10,20103791,N,232,82.47,64.85,64.54,65.86,"69,43",1,5,64,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
45140,925,733112,SMK NEGERI 1 MOROO,69753310,N,15,65.73,71.33,65.83,74.83,"69,43",7,33,112,2018,SUMATERA UTARA,KABUPATEN NIAS BARAT
5864,385,205101,SMK NEGERI 1 CIMAHI,20224136,N,608,78.61,66.09,70.34,62.58,"69,41",2,5,101,2018,JAWA BARAT,KOTA CIMAHI
4168,124,201913,SMK NEGERI 13 BANDUNG (4 TH KELAS 3),20219161,N,178,81.39,67.91,53.68,74.55,"69,38",2,1,913,2018,JAWA BARAT,KOTA BANDUNG
66464,116,2523001,SMK NEGERI 1 KENYAM,69962940,N,9,68.89,71.33,71.94,65.28,"69,36",25,23,1,2018,PAPUA,KABUPATEN NDUGA
21266,513,312241,SMKIT IHSANUL FIKRI,69881816,S,32,81.0,65.38,68.83,61.88,"69,27",3,12,241,2018,JAWA TENGAH,KABUPATEN MAGELANG
307,53,101069,SMK ST. MARIA,20100299,S,124,78.79,81.4,70.36,46.53,"69,27",1,1,69,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
1322,153,103020,SMK NEGERI 11,20101504,N,201,82.61,66.72,66.14,61.38,"69,21",1,3,20,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
